"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632960876.806869","717702601.37752","760451194.722168","852678170.41893","954968399.250467","1059710341.3757","1199968768.1342","1304238475.54572","1362103919.96094","1471549940.26198","1538201484.88546","1591248888.47279","1817197910.91781","1859916219.70373","1770097153.54831","1957789027.13985","2245797232.79212","1925280491.6063","2377953053.37092","2263489180.21641","2702680605.85031","2473150591.76975","2347430362.15644","2369823432.97813","2495561937.38643","2623740072.95702","2697592117.88741","2744211863.47616","2779171748.89003","2877318669.18132","3045743558.29573","3201708648.93802","2475202021.26501","2859061285.68939","3236296850.65822","3392750792.51962","3841476423.1078","",
"Africa Eastern and Southern","AFE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","25977233360.3527","28609921588.4149","29677704900.4824","32366421065.354","34802657606.7271","37824303364.2238","40802720981.7574","44531059394.1691","45961168824.4073","50930186748.7325","55585482037.1942","67883409578.5643","85815479221.2808","99712198172.992","100888746494.472","103462963035.032","114527762554.045","137975074214.04","170192346001.025","190053647388.545","185662327853.203","174512741556.556","170601159759.403","156896544759.393","158865800057.225","176085918435.758","203700466951.73","219400409036.259","226574987848.014","242966500793.587","234315920551.548","238303206099.272","239077496744.872","258021252740.682","271229889261.675","279637658597.023","264714614514.376","263153786924.874","266618929180.452","262171738624.668","263147734707.013","292803928861.837","367419448221.93","472265145360.837","546579564415.645","616436521790.706","677740263870.108","705848306107.779","761589860401.203","849149894180.233","931440126485.4","972085353670.338","985188520064.519","941370372190.726","876417718877.156","877361968152.479","944475890740.675","1015275124050.66","967682368587.108","1050390215628.09","1148354613464.29","1202411182110.89","1214774196488.38","",
"Afghanistan","AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3855298264.10431","4330114357.85973","4996781463.93976","6145219406.73031","6962158645.4777","8668787530.00972","9768577941.33211","12642365226.8958","14864149924.334","16062706809.4182","19575474863.7514","21060159748.9596","21036150317.7626","20114103580.5321","19449602244.5449","19032212583.775","19092091282.3498","19698775580.2624","19236860322.2919","15384996781.5891","14887595113.2198","15544811236.1544","","",
"Africa Western and Central","AFW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489309069672.746","526542732303.068","563249843293.613","592807506335.459","675631389504.098","756516516111.419","844680617729.942","831860412998.118","758386740021.629","698509241518.348","729888951398.594","826707484813.005","887313094625.155","1013858868613.99","1071197470361.29","1024627548020.31","847509937448.581","",
"Angola","AGO","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","5909259345.62086","6967776377.60113","7107391339.02226","7208671184.62559","9792562775.05017","9209298635.0916","11055721312.0955","4204442002.1732","3769324229.12095","2453448143.24748","5114858307.35252","5181567600.33337","6626510906.3585","6315855791.71355","5275181596.40862","5902874417.85882","6690072759.63723","10780227761.0576","13983080499.5081","22088372409.387","30624619059.3705","41844369216.3844","58151972016.2555","74405611696.9298","82511712884.7509","88118689194.8357","95865406559.9723","119501912703.905","139348583608.719","147601990477.111","125303888194.457","85029884361.6455","72612745757.5845","70901568583.4435","79082926100.2829","67572545665.5389","68869476926.7654","83435815174.3546","99089500909.8148","107693478234.119","",
"Albania","ALB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","1830963758.03966","1887276655.63912","2114290463.45928","2250946642.49285","2308259449.5744","2445669340.55044","2144674610.30862","1340594874.81326","906184212.333676","1024263065.09968","1216680599.48079","2133568176.54198","2981037575.94731","2692943307.515","2727011361.35882","2995684426.13312","3491414609.01827","4035825414.46784","4325616722.62418","5175916850.21727","6562432689.09019","8094365204.76332","9376494409.39264","10624927125.5972","12257340676.4867","12849276182.6317","12904007676.746","12954145120.5764","12674852807.2673","13206184852.7254","13188949802.2217","12714934799.9934","12563436494.2492","12458216631.2917","14077582876.9162","15139841853.9319","15103523135.9606","17282883860.6136","18934768339.3555","21083372921.2899","23560575241.688","",
"Andorra","AND","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3552046067.41742","3284843408.15317","3504795324.36005","3793607278.9206","3874341192.64384","3897963253.45046","",
"Arab World","ARB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","33774547174.5641","38080578788.6904","43090784568.3051","48184335094.1998","60189886711.6214","73923302148.4874","111435406827.175","157865910705.271","221249188735.592","245344746592.909","280749357871.032","363162690355.634","458134757002.426","513412817668.923","497623344559.19","454205522258.051","448489664457.527","447709717858.388","455677658035.122","479909377903.862","499614764488.689","508168996332.681","586400353181.893","476169532729.301","500895598829.047","499523344350.84","511676717242.295","533121613759.747","565748551779.201","605564905674.786","614588993034.536","627954984877.459","696881940722.425","741681166094.012","744368520160.073","805365726992.914","959356523115.746","1125058923799.57","1331106485789.44","1563879332691.87","1875056409941.27","1945843240626.46","2099601462984.75","2265083296405.02","2649399726834.16","2877615154509.56","2964896042412.19","2845347036189.79","2720050461020.12","2590652063586.15","2759409808384.75","2928068958409.55","2750619694132.99","2981646415048.03","3431122724261.51","3687813498115.85","3768651028634.17","",
"United Arab Emirates","ARE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","1987689763.48415","2880658617.70698","5825654749.61449","11034541789.6002","18673543960.3927","24051016258.982","25925065453.5839","36178105862.3076","47680171641.8824","52595929596.6897","48880657334.4483","43503308136.2497","44135011017.5724","42473057127.0896","35039898628.0717","39263304905.7819","40393320288.9642","45436842777.1741","55495216417.9129","54417098146.0838","57494227394.6065","58111255411.0858","62096213379.2929","68760750299.5011","73557830180.7751","81214339387.7303","80926293897.685","79671865462.3309","98424973047.7077","105599045563.768","107622937091.727","121688462672.034","147125913781.427","172049400253.225","208706760111.204","244207313021.936","282949443992.748","277083140716.798","291124439149.648","324007563084.028","378325782511.489","413741606241.768","430034718822.807","425137547154.44","412647618371.292","389469443333.696","416571534959.426","440998976863.389","388312237045.194","413972276665.218","473376189121.221","535729190672.201","566397974746.994","",
"Argentina","ARG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","18997608072.4131","18924859186.5029","22202040969.5689","27307536016.7817","30359663534.3665","28316034885.9575","28110535227.4342","30585419212.5286","31582382532.3034","35775760790.7343","36156762383.3556","45649404114.866","62985567014.3734","70261202934.9088","61903678902.5869","59112910817.2946","67261427093.3171","81419317583.0951","91213168139.5787","79780400774.7134","76943271519.1708","83947790180.2833","95627376737.9998","93201118347.8954","104068473607.825","109352233223.808","122797206441.884","93898193857.5191","104077656083.185","127804913792.822","203568016622.907","241811454561.63","262184726924.847","256347178436.284","272663359670.34","290495337988.436","289536836748.234","276294736658.033","275544288842.814","260811643580.081","152402040124.724","139193101197.153","129809211585.293","165719405446.532","215445097642.32","258429317135.467","307363845739.273","315586429999.682","378241273935.818","442036314414.039","496044743443.058","543284023697.86","526784533342.356","543279945585.475","532504167159.506","578798149500.896","553193024104.448","504056284870.866","408628794998.707","456257174738.439","539796984147.371","588256951450.064","618174835332.571","",
