"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","5.836687752","5.555555556","3.87337537","5.21555996","6.311079713","3.361391073","3.225287972","2.999948098","1.869488536","2.280371983","4.044021312","2.883604303","3.315774991","3.657376581","2.529938059","3.395625246","3.608711459","5.39120264","8.957732188","-2.136371573","2.07773902","4.374595795","0.571755528","-2.37226328","0.420998172","0.476485008","-0.893020019",
"Afghanistan","AFG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","12.68626872","7.254895561","8.482889268","30.55494061","-8.283078395","0.892536936","10.20166014","7.218257761","7.654316567","4.604334009","-1.533846583","2.169452176",
"Angola","AGO","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","83.60833333","299.0605002","1379.414274","948.8111888","2671.792072","4145.107647","219.1767212","107.2848215","248.1959024","324.9968716","152.5610225","108.8974361","98.2237177","43.54194725","22.96374444","13.30325336","12.24867552","12.47371341","13.73145114","14.4705412","13.46701535","10.29349433","8.776090933","7.279561541","10.27932672","34.7361593",
"Albania","ALB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","226.0054213","85.00475124","22.56505269","7.793218538","12.72547781","33.18027438","20.64285887","0.389437654","0.050018136","3.10758827","7.770525834","0.484002612","2.280019169","2.366581957","2.370728319","2.932682482","3.359242418","2.280502222","3.552267388","3.450347153","2.03159594","1.937617549","1.631777988","1.910016978","1.282798834",
"Andorra","AND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","8.451462408","9","9.35975159","9.37034416","5.112598904","6.543790685","4.681306239","3.6011610325","3.41731949","2.6693736905","1.8537903535","1.772204374","1.83299389","2.712592475","3.63228005","3.493685346","3.842341256","4.965976546","11.27066524","2.920897118","3.950078759","4.753163889","4.520361629","3.1926276095","2.670525554","1.696950405","2.76846605",
"United Arab Emirates","ARE","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","12.25042024","1.559800981","0.878936756","0.876836633","0.66427897","1.09948371","2.34582837","4.068834375","1.617876882",
"Argentina","ARG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2313.964663","171.6716965","24.8999486","10.6114941","4.177347244","3.37611685","0.155695901","0.527258257","0.920336467","-1.16689547","-0.935939412","-1.066635508","25.86849787","13.44284929","4.415717923","9.639399546","10.90112453","8.831412989","8.584013752","6.282774315","10.78011543","9.465686275","10.03025902","10.61943301","","","",
"Armenia","ARM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","3373.474139","175.9513255","18.68118564","13.96076412","8.672486324","0.64824576","-0.790883769","3.145904647","1.060049293","4.721553366","6.961261359","0.642343268","2.892356625","4.407360896","8.949953354","3.406766827","8.181575544","7.651233638","2.5554709","5.793787917","2.980988073","3.726586028","-1.271210454",
"American Samoa","ASM","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","1.121287896","0.771779797","1.402796636","2.407658013","1.993530552","2.030077579","2.098751967","1.787785374","1.416052594","5.333806398","-0.550159996","3.370025402","3.456749672","3.376880443","1.059497824","1.089441574","0.968993459","-0.489437796",
